('https://cdn.summitlearning.org/assets/marketing/Cognitive-Skills-Document-Suite.pdf', None, None, '参考课标')
('能力领域（7个）', '能力维度（36个）', '高阶思维能力描述', '语言')
('文本分析\n（精读）', '主题与中心思想', '利用细节确定主题与中心思想。', '▲')
(None, '观点与目的', '分析角色、叙述者和/或作者/说话者的观点或目的，以及这种观点如何影响文本的信息或意义。', '▲')
(None, '发展', '解释作者如何使用细节来发展故事的元素，或者在非小说文本中的个人、事件或想法。', '▲')
(None, '结构', '识别共同构成文本结构的特征和要素，并分析作者的结构选择所传达的潜在意义和效果。', '▲')
(None, '用词选择', '分析作者的词汇选择如何影响文本的意义、语气或文本的情绪，并解释词汇选择如何与情境或媒体有关。', '▲')
('使用资料', '选择相关原始资料', '选择能够支持回答特定研究问题的、相关的、可信的信息资料来源，并且可以区分事实和观点。', '▲')
(None, '情境化原始资料', '确定原始资料在其起源的世界（时代、地点、社会政治气候、文化条件等）中的定位 ，并解释原始资料中的视角如何形成和/或被这些条件所塑造。', None)
(None, '综合多种原始资料', '整合多个来源的信息来支持一个论点或解释。', '▲')
('探究', '提出问题', '提出重点突出、可回答且可研究的问题。', '▲')
(None, '定义设计问题', '定义通过工程设计解决实际问题的标准和限制。', None)
(None, '预测与假设', '发展与探究、研究问题或调查相关的假设和预测。', None)
(None, '策划及进行调研', '计划和进行调查，提供证据支持解释，设计解决方案和/或模型。', None)
('分析与综合', '组织与表达信息', '组织和表示信息（例如，数字化和视觉化数据）。', None)
(None, '识别规律和关系', '分析信息以识别与理解现象或解决设计问题相关的规律和/或关系。', None)
(None, '比较与对比', '识别和描述相同点和不同点，并用它们来支持论点或解释。', '▲')
(None, '建模', '开发、使用和修正模型（例如，图表、物理副本、数学表示、类比和计算机模拟）来描述和预测现象或表示和测试设计解决方案。', None)
(None, '阐释数据资料以提出有效论点', '从来源解释数据/信息，并对现象、模型或设计解决方案提出有效、可信的要求。', None)
(None, '建立联系和推断', '根据证据或推理连接想法并做出推论。', '▲')
(None, '评估竞争性的设计方案', '评估针对相关问题的竞争性设计解决方案，考虑标准和限制，并利用经验证明，包括学生自己生成的证据。', None)
(None, '评价论证', '评价论点或解释。（科学：如果可能的话，应该要求学生评估相互竞争或替代的论点/解释，并应用相同的分析维度来评估多个论点/解释。）', '▲')
(None, '设计解决方案', '设计一个解决方案（例如，一个对象、工具、过程或者系统） ，这个方案由科学思想支持，并且符合标准和约束；通过经验证明分析来评估和改进解决方案。', None)
(None, '建立有证据的解释', '用经验证明、学科理念和逻辑推理解释一个现象。', None)
('创作/写作', '立论', '通过清晰、有序的主张形成强有力的观点/论点。', '▲')
(None, '资料性与解释性论文', '通过清晰、组织良好的相关想法构建解释或传达想法和信息。', '▲')
(None, '叙事', '完成一个口头或书面的叙述，关联经验、事件、程序步骤等等（无论它们是真实的或想象的）。', '▲')
(None, '反论', '承认和展开替代的或对立的立场。', '▲')
(None, '证据选择', '使用相关和充分的证据支持论点。', '▲')
(None, '证据解释', '分析选择的证据如何支持作者的陈述。', '▲')
(None, '证据整合', '准确地表述证据，并在文本中包含证据。', '▲')
(None, '组织结构', '使用文本结构和转换，以实现清晰连贯地沟通。', '▲')
(None, '开头和结尾', '用相关的开头和结尾构建一篇文章。', '▲')
('听/说', '为以证据为基础的讨论做贡献', '为讨论或任务提供清晰、相关和实质性的内容，并准备适当的证据和细节。', '▲')
(None, '规则与积极倾听', '表现出积极倾听和对不同观点的开放态度。运用角色和规范支持学术讨论和小组工作的完成。', '▲')
('产出/演讲', '口头表达', '运用适当的公共演讲策略来吸引听众和交流要点。', '▲')
(None, '多媒体交流', '将多媒体和/或技术融入所有形式的口头和书面交流。', '▲')
(None, '精准沟通', '表达、整合和应用特定的内容和/或坚持准确与精确表达。【2019：标准将会因为具体不同项目而不同。】', '▲')
